metname,inchikey
f6p,BGWGXPAPYGQALX-ARQDHWQXSA-L
gln__L,ZDXPYRJPNDTMRX-VKHMYHEASA-N
dgdi12tetdec,NA
btamp,UTQCSTJVMLODHM-RHCAYAJFSA-N
pgpdioctdec,NA
mglucsyldpalmgl,NA
sucr,CZMRCDWAGMRECN-UGDNZRGBSA-N
ru5p__D,FNZLKVNUWIIPSJ-UHNVWZDZSA-L
a24op,NA
gtp,XKMLYUALXHKNFT-UUOKFMHZSA-J
dhf,OZRNSSUDZOLUSN-LBPRGKRZSA-L
gam,MSWZFWKMSRAUBD-IVMDWMLBSA-O
ab3coa,NA
acacp,NA
fdp,RNBGYGVWRKECFJ-VRPWFDPXSA-J
6pgl,IJOJIVNDFQSGAB-SQOUGZDYSA-L
rdmbzi,HLRUKOJSWOKCPP-SYQHCUMBSA-N
acmalt,IJVLHLCOMOKFHH-DURRTVQMSA-N
5mdru1p,CNSJRYUMVMWNMC-RITPCOANSA-L
butacp,NA
34hpp,KKADPXVIOXHVKN-UHFFFAOYSA-M
mlthf,QYNUQALWYRSVHF-OLZOCXBDSA-L
gthox,YPZRWBKMTBYPTK-BJDJZHNGSA-L
uaccg,BEGZZYPUNCJHKP-DBYWSUQTSA-K
trdrd,NA
seln,SPVXKVOXSXTJOY-UHFFFAOYSA-M
phosglcdihexdec,NA
glyald,MNQZXJOMYWMBOU-VKHMYHEASA-N
actp,LIPOUNRJVLNBCD-UHFFFAOYSA-L
o3ctcoa,NA
udcpp,UFPHFKCTOZIAFY-RDQGWRCRSA-L
histda,NA
gcald,WGCNASOHLSPBMP-UHFFFAOYSA-N
4hbutcoa,BAMBWCGEVIAQBF-CITAKDKDSA-J
db4p,OKYHYXLCTGGOLM-UHFFFAOYSA-L
trdox,NA
h2o2,MHAJPDPJQMAIIY-UHFFFAOYSA-N
oxo3myristcoa,NA
dcamp,OFBHPPMPBOJXRT-DPXQIYNJSA-J
citr__L,RHGKLRLOHDJJDR-BYPYZUCNSA-N
chtbs,NA
ura,ISAKRJDGNUQOIC-UHFFFAOYSA-N
but,NA
orn,AHLPHDHHMVZTML-BYPYZUCNSA-O
dec22enacp,NA
adp,XTWYTFMLZFPYCI-KQYNXXCUSA-K
