metname,inchikey
2amsa,XMTCKNXTTXDPJX-REOHCLBHSA-N
g6p_r,NA
13dpg,LJQLQCAXBUHEAZ-UWTATZPHSA-J
44mctr,NA
gmp,RQFCJASXJCIDSX-UUOKFMHZSA-L
ipc324_SC,NA
2obut,TYEYBOSBBBHJIV-UHFFFAOYSA-M
acybut,DXWQLTOXWVWMOH-UHFFFAOYSA-M
asn__L_v,NA
m3macchitppdol_g,NA
cdpdag_SC,NA
dca,NA
mlthf_m,NA
r1p,YXJDFQJKERBOBM-TXICZTDVSA-L
etoh_m,NA
leu__L_m,NA
tyrtrna_m,NA
1agly3p_SC,NA
accoa_x,NA
lac__L,JVTAAEKCZFNVCJ-REOHCLBHSA-M
dhor__S,UFIVEPVSAGBUSI-REOHCLBHSA-M
tdecoa,NA
T4hcinnm_m,NA
orot5p,KYOBSHFOBAOFBF-XVFCMESISA-K
dolp_r,NA
dump_n,NA
skm5p,QYOJSKGCWNAKGW-PBXRRBTRSA-K
ipdp_m,NA
2ippm,NJMGRJLQRLFQQX-HYXAFXHYSA-L
tag6p__D,BGWGXPAPYGQALX-OEXCPVAWSA-L
gdp_g,NA
hxc2coa_x,NA
ptd3ino_SC,NA
coa_r,NA
glu__L_x,NA
gly_m,NA
5fthf,VVIAGPKUTFNRDU-STQMWFEESA-L
iletrna_m,NA
man6p,NBSCHQHZLSJFNQ-QTVWNMPRSA-L
4fumacac,GACSIVHAIFQKTC-OWOJBTEDSA-L
nadph,ACFIXJIJDZMPPO-NNYOXOHSSA-J
dcyt,CKTSBUTUHBMZGZ-SHYZEUOFSA-N
ump_m,NA
aproa,PCXDJQZLDDHMGX-UHFFFAOYSA-O
e4hglu_x,NA
dcdp,FTDHDKPUHBLBTL-SHYZEUOFSA-K
pa_SC_m,NA
ptd4ino_SC,NA
trnathr,NA
4abut,BTCSSZJGUNDROE-UHFFFAOYSA-N
2mbac,XHIUFYZDQBSEMF-UHFFFAOYSA-N
ps_SC,NA
adp_x,NA
pdx5p,WHOMFKWHIQZTHY-UHFFFAOYSA-L
g6p,NBSCHQHZLSJFNQ-GASJEMHNSA-L
mettrna_m,NA
xyl__D,SRBFZHDQGSBBOR-IOVATXLUSA-N
xu5p__D,FNZLKVNUWIIPSJ-RFZPGFLSSA-L
ahcys_m,NA
focytc_m,NA
glyc3p,AWUCVROLDVIAJX-GSVOUGTGSA-L
atp_g,NA
34hpp_x,NA
gln__L_n,NA
ipc226_SC,NA
gmp_g,NA
4h2oglt_m,NA
dhap,GNGACRATGGDKBX-UHFFFAOYSA-L
hxdcal,NIOYUNMRJMEDGI-UHFFFAOYSA-N
indpyr,RSTKLPZEZYGQPY-UHFFFAOYSA-M
mip2c326_SC,NA
5mdru1p,CNSJRYUMVMWNMC-RITPCOANSA-L
ACP,NA
arg__L,ODKSFYDXXFIFQN-BYPYZUCNSA-O
adp,XTWYTFMLZFPYCI-KQYNXXCUSA-K
amp_x,NA
23dhmp_m,NA
orn,AHLPHDHHMVZTML-BYPYZUCNSA-O
2aobut,SAUCHDKDCUROAO-VKHMYHEASA-N
cer1_26_r,NA
dhlpro_m,NA
coucoa_m,NA
fru,RFSUNEUAIZKAJO-VRPWFDPXSA-N
pacald,DTUQWGWMVIHBKE-UHFFFAOYSA-N
nadph_r,NA
trnatrp_m,NA
trptrna_m,NA
dha,RXKJFZQQPQGTFL-UHFFFAOYSA-N
3ipmmest,NA
N1aspmd,MQTAVJHICJWXBR-UHFFFAOYSA-P
thm,MYVIATVLJGTBFV-UHFFFAOYSA-M
ump,DJJCXFVJDGTHFX-XVFCMESISA-L
