metname,inchikey
acorn,JRLGPAXAGHMNOL-LURJTMIESA-N
hlipan,NA
hco3,BVKZGUZCCUSVTD-UHFFFAOYSA-M
db4p,OKYHYXLCTGGOLM-UHFFFAOYSA-L
lystrna,NA
mptamp,XJXFAXLUOKQPAQ-YPRLVJTJSA-K
codhpre6,RFBIUXAOZAPWCC-RDKWKEIWSA-E
2dmmql8,FGYPGICSXJEKCG-AENDIINCSA-N
kdolipid4n,NA
ethso3,CCIVGXIOQKPBKL-UHFFFAOYSA-M
mql8,OIEZRVBFVPGODT-WQWYCSGDSA-N
mobd,MEFBJEMVZONFCJ-UHFFFAOYSA-N
LalaDgluMdap,NA
12dgr141,NA
trnacys,NA
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L
fol,OVBPIULPVIDEAO-LBPRGKRZSA-L
tyr__L,OUYCCCASQSFEME-QMMMGPOBSA-N
mmcoa__S,MZFOKIKEPGUZEN-IBNUZSNCSA-I
n2o,GQPLMRYTRLFLPF-UHFFFAOYSA-N
trnamet,NA
copre6,DFFFCFUPOVLDTP-IICGDJHVSA-N
4per,ZCZXOHUILRHRQJ-PWNYCUMCSA-K
3ooctACP,NA
ibt,KQNPFQTWMSNSAP-UHFFFAOYSA-M
3c2hmp,RNQHMTFBUSSBJQ-CRCLSJGQSA-L
10fthf,AUFGTPPARQZWDO-YPMHNXCESA-L
murein3p3p,QKZNHGKXDALVQW-UHFFFAOYSA-I
td2coa,MBCVYCOKMMMWLX-YYMFEJJQSA-J
gam6p,XHMJOUIAFHJHBW-IVMDWMLBSA-M
ckdo,YWWJKULNWGRYAS-UOVSKDHASA-L
cobalt2,XLJKHNWPARRRJB-UHFFFAOYSA-N
nadph,ACFIXJIJDZMPPO-NNYOXOHSSA-J
murein4px4p,NA
kdo2lipid4Ln,NA
copre3,FKTVLCPLZMVWHD-LPFAUARPSA-E
lipidAdsn,NA
no2,IOVCWXUNBOPUCH-UHFFFAOYSA-M
u3aga,TZSJGZGYQDNRRX-MPLCHSTDSA-L
dutp,AHCYMLUZIRLXAA-SHYZEUOFSA-J
lipa,DIXUKJUHGLIZGU-OIPVZEHTSA-H
maltpttre,NA
cmp,IERHLVCPSMICTF-XVFCMESISA-L
uacmam,LFTYTUAZOPRMMI-ZYQOOJPVSA-L
gdpddman,PNHLMHWWFOPQLK-BKUUWRAGSA-L
3hhdcoa,DEHLMTDDPWDRDR-BCIKBWLNSA-J
dscl,OQIIYZQTTMKFAU-ZNLOQLQNSA-G
prfp,QOUSHGMTBIIAHR-KEOHHSTQSA-J
akg,KPGXRSRHYNQIFN-UHFFFAOYSA-L
pydx5p,NGVDGCNFYWLIFO-UHFFFAOYSA-L
o2,MYMOFIZGZYHOMD-UHFFFAOYSA-N
4ppan,XHFVGHPGDLDEQO-ZETCQYMHSA-K
fprica,ABCOOORLYAOBOZ-KQYNXXCUSA-L
phaccoa,ZIGIFDRJFZYEEQ-CECATXLMSA-J
pi,NBIIXXVUZAFLBC-UHFFFAOYSA-L
acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N
campp,NA
nmn,DAYLJWODMCOQEW-TURQNECASA-M
5hbzid,NA
rdxr,NA
hcit,NA
2agpe140,DDUZNLUWXLYPCP-UHFFFAOYSA-N
3mop,JVQYSWDUAOAHFM-BYPYZUCNSA-M
cdpdhdecg,NA
acgam,OVRNDRQMDRJTHS-RTRLPJTCSA-N
adprib,SRNWOUGRCWSEMX-TYASJMOZSA-L
ppbng,QSHWIQZFGQKFMA-UHFFFAOYSA-M
2agpe181,NA
anhm4p,OUWAMZWZTFUVMV-NPLPHQDTSA-L
2mahmp,AGQJQCFEPUVXNK-UHFFFAOYSA-K
hphaccoa,GPCAQTOAAYEBGJ-CECATXLMSA-J
dhpmp,PLSQMGZYOGSOCE-XINAWCOVSA-L
glu1sa,MPUUQNGXJSEWTF-BYPYZUCNSA-N
u23ga,KOJCFMYSTWNMQW-RUAJDYCTSA-L
dhxfut,XWPBBHHZDYSYMS-ZXRVKKJVSA-M
4ahmmp,VUTBELPREDJDDH-UHFFFAOYSA-N
trnaphe,NA
ocdcaACP,NA
athr__L,AYFVYJQAPQTCCC-HRFVKAFMSA-N
ficytb,NA
for,BDAGIHXWWSANSR-UHFFFAOYSA-M
nadh,BOPGDPNILDQYTO-NNYOXOHSSA-L
acACP,NA
mal__L,BJEPYKJPYRNKOW-REOHCLBHSA-L
orot5p,KYOBSHFOBAOFBF-XVFCMESISA-K
coa,RGJOEKWQDUBAIZ-IBOSZNHHSA-J
12dgr180,NA
dtbt,AUTOLBMXDDTRRT-UHFFFAOYSA-M
3hcvac11eACP,NA
tdeACP,NA
pep,DTBNBXWJWCWCIK-UHFFFAOYSA-K
copre5,CMNLELJQIRWSFR-GFSZXBFJSA-M
ppi,XPPKVPWEQAFLFU-UHFFFAOYSA-K
man6p,NBSCHQHZLSJFNQ-QTVWNMPRSA-L
mqn8,LXKDFTDVRVLXFY-WQWYCSGDSA-N
ppap,FMNMEQSRDWIBFO-UHFFFAOYSA-L
moco,NA
uaagmda,OXJNZXDFVLDLEI-MBCYCBSHSA-J
fdxr_42,NA
fum,VZCYOOQTPOCHFL-OWOJBTEDSA-L
air,PDACUKOKVHBVHJ-ZRTZXPPTSA-M
trdrd,NA
fruur,PTCIWUZVDIQTOW-XDJBDKDSSA-M
kdo2lipid4n,NA
1ddecg3p,STTKJLVEXMKLNA-CQSZACIVSA-L
pac,WLJVXDMOQOGPHL-UHFFFAOYSA-M
ACP,NA
pphos,CMPQUABWPXYYSH-UHFFFAOYSA-L
octeACP,NA
g1p,HXXFSFRBOHSIMQ-GASJEMHNSA-L
malcoame,CHQAJZULNPRMEN-FZEDXVDRSA-J
trdox,NA
hmbil,WDFJYRZCZIUBPR-UHFFFAOYSA-F
flxso,NA
adocbl,ZIHHMGTYZOSFRC-QRVZQHAISA-N
eig3p,HFYBTHCYPKEDQQ-RITPCOANSA-L
murein3px4p,LOVDDQLBOGPFKC-UHFFFAOYSA-H
2agpg161,NA
ptcoa,RXUATCUKICAIOA-ZMHDXICWSA-J
tdecoa,NA
acser,VZXPDPZARILFQX-BYPYZUCNSA-N
3hcddec5eACP,NA
2ippm,NJMGRJLQRLFQQX-HYXAFXHYSA-L
cit,KRKNYBCHXYNGOX-UHFFFAOYSA-K
3php,LFLUCDOSQPJJBE-UHFFFAOYSA-K
ogmeACP,NA
5drib,WDRISBUVHBMJEF-MROZADKFSA-N
ch15deccoa,IHXBZDHPKCDGKN-TYHXJLICSA-J
glc__D,WQZGKKKJIJFFOK-GASJEMHNSA-N
clpn181,HSSSADMXQPKIEB-GXYAQEMJSA-L
3ocddec5eACP,NA
nac,PVNIIMVLHYAWGP-UHFFFAOYSA-M
