metname,inchikey
4mhetz,BKAWJIRCKVUVED-UHFFFAOYSA-N
chor,WTFXTQVDAKGDEY-HTQZYQBOSA-L
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L
5dh4dglc,QUURPCHWPQNNGL-ZAFYKAAXSA-L
murein5p5p5p,FOZGDVCGOFWZKF-SSRSPRHQSA-G
cbl1,OMAOKVYASDIYQG-DSRCUDDDSA-L
eig3p,HFYBTHCYPKEDQQ-RITPCOANSA-L
copre5,CMNLELJQIRWSFR-GFSZXBFJSA-M
cyst__L,ILRYLPWNYFXEMH-WHFBIAKZSA-N
ocACP,NA
acald,IKHGUXGNUITLKF-UHFFFAOYSA-N
4ahmmp,VUTBELPREDJDDH-UHFFFAOYSA-N
succ,KDYFGRWQOYBRFD-UHFFFAOYSA-L
malACP,NA
mal__L,BJEPYKJPYRNKOW-REOHCLBHSA-L
glyc,PEDCQBHIVMGVHV-UHFFFAOYSA-N
trnamet,NA
cmp,IERHLVCPSMICTF-XVFCMESISA-L
murein5px4p,NQXCJQVWBSGGNW-UHFFFAOYSA-E
aspsa,HOSWPDPVFBCLSY-VKHMYHEASA-N
imp,GRSZFWQUAKGDAV-KQYNXXCUSA-L
thfglu,ZAOGJXDWOQXFBW-FGRDXJNISA-K
pg160,BIABMEZBCHDPBV-MPQUPPDSSA-M
3hdecACP,NA
g3pg,LLCSXHMJULHSJN-UHFFFAOYSA-M
methf,MEANFMOQMXYMCT-OLZOCXBDSA-M
mththf,BVIYGXUQVXBHQS-IUYQGCFVSA-N
pre5,OUPXZNRNMLYOGK-FNFWWFRLSA-G
2dda7p,PJWIPEXIFFQAQZ-PUFIMZNGSA-K
pydx5p,NGVDGCNFYWLIFO-UHFFFAOYSA-L
csn,OPTASPLRGRRNAP-UHFFFAOYSA-N
10fthf,AUFGTPPARQZWDO-YPMHNXCESA-L
ipdp,NUHSROFQTUXZQQ-UHFFFAOYSA-K
argsuc,KDZOASGQNOPSCU-ZBHICJROSA-M
urcan,LOIYMIARKYCTBW-OWOJBTEDSA-M
dmbzid,LJUQGASMPRMWIW-UHFFFAOYSA-N
cdpglyc,HHPOUCCVONEPRK-JBSYKWBFSA-L
23dhmp,PDGXJDXVGMHUIR-UJURSFKZSA-M
asp__L,CKLJMWTZIZZHCS-REOHCLBHSA-M
hisp,CWNDERHTHMWBSI-YFKPBYRVSA-M
acg5sa,BCPSFKBPHHBDAI-LURJTMIESA-M
3hcmrs7eACP,NA
murein5px4px4p,UVVIMBIDZMDRCG-UHFFFAOYSA-D
abt,HEBKCHPVOIAQTA-IMJSIDKUSA-N
tdec2eACP,NA
pre6a,SOHWQLUTRKYCGZ-YTMGQXKNSA-G
4abut,BTCSSZJGUNDROE-UHFFFAOYSA-N
his__L,HNDVDQJCIGZPNO-YFKPBYRVSA-N
copre3,FKTVLCPLZMVWHD-LPFAUARPSA-E
fpram,PMCOGCVKOAOZQM-ZRTZXPPTSA-M
dcmp,NCMVOABPESMRCP-SHYZEUOFSA-L
tdeACP,NA
udpgalfur,ZQLQOXLUCGXKHS-SIAUPFDVSA-L
ps181,NA
ncam,DFPAKSUCGFBDDF-UHFFFAOYSA-N
acser,VZXPDPZARILFQX-BYPYZUCNSA-N
adocbi,KQXSPGAEBZWHMC-OCUXTBADSA-N
dgsn,YKBGVTZYEHREMT-KVQBGUIXSA-N
pyr,LCTONWCANYUPML-UHFFFAOYSA-M
2cpr5p,QKMBYNRMPRKVTO-MNOVXSKESA-K
3c3hmp,BITYXLXUCSKTJS-ZETCQYMHSA-L
adocbip,MQCMBMUJJHSGIF-QMUWONGRSA-K
3ocpalm9eACP,NA
fdxo_42,NA
3ig3p,NQEQTYPJSIEPHW-MNOVXSKESA-L
2ahhmd,FCQGJGLSOWZZON-UHFFFAOYSA-L
h2,UFHFLCQGNIYNRP-UHFFFAOYSA-N
f6p,BGWGXPAPYGQALX-ARQDHWQXSA-L
lys__L,KDXKERNSBIXSRK-YFKPBYRVSA-O
