metname,inchikey
pail4p1601619Z,NA
mgdg205n3163n4_h,NA
alac__S_m,NA
gthrd_m,NA
pc1819Z184n3,NA
trp__L,QIVBCDIJIAJPQS-VIFPVBQESA-N
dd36coa_x,NA
dc247coa_m,NA
pgp160_h,NA
pa205n3,NA
mercppyr,OJOLFAIGOXZBCI-UHFFFAOYSA-M
pe1619Z204n6,NA
cmp_h,NA
tyrtrna_m,NA
pc140203n6,NA
td258coa_x,NA
sephcpc_h,NA
12dgr1619Z204n6,NA
pphn,FPWMCUPFBRFMLH-XGAOUMNUSA-L
tczcaro_h,NA
12dgr1819Z162n4_h,NA
apoC_h,NA
dggl,NA
arachd,NA
mpdol,CMBCFQGXXHOGEH-GRUWKLFASA-L
h2mb4p_h,NA
5mtr,ACWASDPGAVYCNI-JKUQZMGJSA-N
npdp_m,NA
2cpr5p,QKMBYNRMPRKVTO-MNOVXSKESA-K
fdp_h,NA
hmgcoa_m,NA
dtbt_m,NA
ascb__L_m,NA
ergst,DNVPQKQSNYMLRS-APGDWVJJSA-N
camp,IVOMOUWHDPKRLL-KQYNXXCUSA-M
mag1819Z,NA
4adcho,OIUJHGOLFKDBSU-HTQZYQBOSA-M
accoa_x,NA
mergtrol,HLAWVOWADPNAGN-BAHZUFOISA-N
3hhd710coa_m,NA
pe1619Z205n3,NA
hxdcal,NIOYUNMRJMEDGI-UHFFFAOYSA-N
13dpg,LJQLQCAXBUHEAZ-UWTATZPHSA-J
6pgc,BIRSGZKFKXLSJQ-SQOUGZDYSA-K
epist,BTCAEOLDEYPGGE-JVAZTMFWSA-N
oc37coa_m,NA
udpsq_h,NA
1tdecg3p,FAZBDRGXCKPVJU-MRXNPFEDSA-L
dmshb,NA
12dgr182_9_12,NA
12dgr226n3140,NA
thdp_h,NA
oc24coa_m,NA
phom_h,NA
nadh_h,NA
tag1619Z204n6204n6,NA
pail4p160205n3,NA
oc47coa_m,NA
lipACP_m,NA
od29coa_m,NA
12dgr226n3204n6,NA
aps,IRLPACMLTUPBCL-KQYNXXCUSA-L
12dgr226n31819Z,NA
pail45p1619Z205n3,NA
tmlys_m,NA
no2_h,NA
mgdg161_h,NA
behencoa,NA
oc5crn,NA
3oeicoscoa_x,NA
5fthf_m,NA
adp,XTWYTFMLZFPYCI-KQYNXXCUSA-K
cholp_m,NA
pc205n3,NA
3hod91215coa_m,NA
accp_h,NA
pc1601619Z,NA
fad_x,NA
12dgr1819Z226n3,NA
coa_m,NA
tag160205n3160,NA
13glucan,NA
g6p,NBSCHQHZLSJFNQ-GASJEMHNSA-L
glx,HHLFWLYXYJOTON-UHFFFAOYSA-M
q9h2_m,NA
btnCCP,NA
gly_m,NA
ocdcea_h,NA
hdca_h,NA
btn_m,NA
dcmp,NCMVOABPESMRCP-SHYZEUOFSA-L
leutrna_h,NA
