metname,inchikey
3hadpcoa,OTEACGAEDCIMBS-NOTSHUFBSA-I
udcpp,UFPHFKCTOZIAFY-RDQGWRCRSA-L
uaccg,BEGZZYPUNCJHKP-DBYWSUQTSA-K
ocdcea,ZQPPMHVWECSIRJ-KTKRTIGZSA-M
34dhpac,IADQVXRMSNIUEL-UHFFFAOYSA-N
all6p,VFRROHXSMXFLSN-BGPJRJDNSA-L
2tpr3dpcoa,NFWZJXFBUKDGOX-HWCXJHOSSA-H
glu__D,WHUUTDBJXJRKMK-GSVOUGTGSA-M
dtdp,UJLXYODCHAELLY-XLPZGREQSA-K
copre5,CMNLELJQIRWSFR-GFSZXBFJSA-M
citr__L,RHGKLRLOHDJJDR-BYPYZUCNSA-N
3dhsk,SLWWJZMPHJJOPH-PHDIDXHHSA-M
na1,FKNQFGJONOIPTF-UHFFFAOYSA-N
cddec5eACP,NA
pmtcoa,MNBKLUUYKPBKDU-BBECNAHFSA-J
phe__L,COLNVLDHVKWLRT-QMMMGPOBSA-N
d5kgp,OLUPOJQIFXQXIT-CVYQJGLWSA-K
uagmda,PNWZQTONLRRPST-KLDRQJOASA-J
4abutn,DZQLQEYLEYWJIB-UHFFFAOYSA-O
phpyr,BTNMPGBKDVTSJY-UHFFFAOYSA-M
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L
akg,KPGXRSRHYNQIFN-UHFFFAOYSA-L
btnso,KCSKCIQYNAOBNQ-YBSFLMRUSA-M
ade,GFFGJBXGBJISGV-UHFFFAOYSA-N
13ppd,YPFDHNVEDLHUCE-UHFFFAOYSA-N
co1dam,NKLHEMWEQJCPPF-OKJGWHJPSA-H
glu__L,WHUUTDBJXJRKMK-VKHMYHEASA-M
mettrna,NA
alltt,NUCLJNSWZCHRKL-UHFFFAOYSA-M
rdmbzi,HLRUKOJSWOKCPP-SYQHCUMBSA-N
nad,BAWFJGJZGIEFAR-NNYOXOHSSA-M
acon_C,GTZCVFVGUGFEME-IWQZZHSRSA-K
prpp,PQGCEDQWHSBAJP-TXICZTDVSA-I
galt,FBPFZTCFMRRESA-GUCUJZIJSA-N
23camp,KMYWVDDIPVNLME-KQYNXXCUSA-M
accoa,ZSLZBFCDCINBPY-ZSJPKINUSA-J
3hddecACP,NA
3ocddec5eACP,NA
hx2coa,OINXHIBNZUUIMR-IXUYQXAASA-J
sucglu,JCNBNOQGFSXOML-YFKPBYRVSA-K
pyr,LCTONWCANYUPML-UHFFFAOYSA-M
dna,NA
cystrna,NA
ac,QTBSBXVTEAMEQO-UHFFFAOYSA-M
mthgxl,AIJULSRZWUXGPQ-UHFFFAOYSA-N
6pgl,IJOJIVNDFQSGAB-SQOUGZDYSA-L
pppn,XMIIGOLPHOKFCH-UHFFFAOYSA-M
no,MWUXSHHQAYIFBG-UHFFFAOYSA-N
ahdt,DGGUVLXVLHAAGT-XINAWCOVSA-J
4h2opntn,HFKQINMYQUXOCH-UHFFFAOYSA-M
paps,GACDQMDRPRGCTN-KQYNXXCUSA-J
occoa,KQMZYOXOBSXMII-CECATXLMSA-J
oxadpcoa,VKKKAAPGXHWXOO-BIEWRJSYSA-I
lipidX,HEHQDWUWJVPREQ-XQJZMFRCSA-L
s7p,JDTUMPKOJBQPKX-GBNDHIKLSA-L
14glucan,NA
aconm,BRYKYSQCLNCYQW-DUXPYHPUSA-L
1agpe141,NA
adphep_LD,KMSFWBYFWSKGGR-DTBZDYEHSA-L
cobalt2,XLJKHNWPARRRJB-UHFFFAOYSA-N
murein5p4p,YJNGRCZHKAYCMA-VZNOAHCOSA-E
ara5p,PPQRONHOSHZGFQ-WDCZJNDASA-L
2agpg120,NA
23ccmp,NMPZCCZXCOMSDQ-XVFCMESISA-M
dsbard,NA
murein4p4p,VTZDBMVDVOTCFD-UHFFFAOYSA-G
g3ps,ZWZWYGMENQVNFU-UHNVWZDZSA-M
5dglcn,IZSRJDGCGRAUAR-MROZADKFSA-M
cit,KRKNYBCHXYNGOX-UHFFFAOYSA-K
bz,WPYMKLBDIGXBTP-UHFFFAOYSA-M
fmnh2,YTNIXZGTHTVJBW-SCRDCRAPSA-L
man1p,HXXFSFRBOHSIMQ-RWOPYEJCSA-L
2hh24dd,NA
no3,NHNBFGGVMKEFGY-UHFFFAOYSA-N
ggptrc,WKGTVHGVLRCTCF-UHFFFAOYSA-O
csn,OPTASPLRGRRNAP-UHFFFAOYSA-N
tre,HDTRYLNUVZCQOY-LIZSDCNHSA-N
udpgalur,HDYANYHVCAPMJV-GXNRKQDOSA-K
2cpr5p,QKMBYNRMPRKVTO-MNOVXSKESA-K
thymd,IQFYYKKMVGJFEH-XLPZGREQSA-N
2agpg181,NA
cmp,IERHLVCPSMICTF-XVFCMESISA-L
ocdca,QIQXTHQIDYTFRH-UHFFFAOYSA-M
lald__L,BSABBBMNWQWLLU-VKHMYHEASA-N
glyclt,AEMRFAOFKBGASW-UHFFFAOYSA-M
fum,VZCYOOQTPOCHFL-OWOJBTEDSA-L
2ommbl,HDSGDGSLNMIMKU-KFSSTAEESA-N
fmettrna,NA
anhm3p,KGVLFEPQSVUIRC-FYQNUYSYSA-L
pep,DTBNBXWJWCWCIK-UHFFFAOYSA-K
LalaDglu,VYZAGTDAHUIRQA-CRCLSJGQSA-M
26dap__M,GMKMEZVLHJARHF-SYDPRGILSA-N
copre4,VHHGJROBFDFFAE-QTESGACZSA-F
adcobhex,AXZSUSWNAXMBBB-NQYRMHKHSA-L
q8,ICFIZJQGJAJRSU-SGHXUWJISA-N
fad,IMGVNJNCCGXBHD-UYBVJOGSSA-K
rml1p,KNYGWWDTPGSEPD-OTWZMJIISA-L
thrp,USRGIUJOYOXOQJ-GBXIJSLDSA-L
trnasecys,NA
12dgr140,NA
2pglyc,ASCFNMCAHFUBCO-UHFFFAOYSA-K
4ahmmp,VUTBELPREDJDDH-UHFFFAOYSA-N
ala__L,QNAYBMKLOCPYGJ-REOHCLBHSA-N
hco3,BVKZGUZCCUSVTD-UHFFFAOYSA-M
ps180,TZCPCKNHXULUIY-RGULYWFUSA-M
12dgr160,NA
4mpetz,OCYMERZCMYJQQO-UHFFFAOYSA-L
ppal,NBBJYMSMWIIQGU-UHFFFAOYSA-N
8aonn,GUAHPAJOXVYFON-UHFFFAOYSA-N
fald,WSFSSNUMVMOOMR-UHFFFAOYSA-N
alatrna,NA
tdec2eACP,NA
3hodcoa,WZMAIEGYXCOYSH-SFKGBVSGSA-J
murein4px4p4p,NPJMJVATSCHTAI-UHFFFAOYSA-F
2aobut,SAUCHDKDCUROAO-VKHMYHEASA-N
34dhpha,CFFZDZCDUFSOFZ-UHFFFAOYSA-M
dhor__S,UFIVEPVSAGBUSI-REOHCLBHSA-M
3odecACP,NA
2dhphaccoa,NA
3ohexACP,NA
pphn,FPWMCUPFBRFMLH-XGAOUMNUSA-L
unaga,NEVJGTXBHJNFAZ-JXCMATCVSA-L
pg180,FVJZSBGHRPJMMA-IOLBBIBUSA-M
