metname,inchikey
3hbutACP,NA
3hddecACP,NA
citm,XFTRTWQBIOMVPK-UHFFFAOYSA-L
murein5px4p,NQXCJQVWBSGGNW-UHFFFAOYSA-E
um4p,NA
thbpt,FNKQXYHWGSIFBK-NHTYNGABSA-N
mgdg161,NA
ni2,VEQPNABPJHWNSG-UHFFFAOYSA-N
cystrna,NA
so3,LSNNMFCWUKXFEE-UHFFFAOYSA-L
allocy,NA
s17bp,OKHXOUGRECCASI-SHUUEZRQSA-J
for,BDAGIHXWWSANSR-UHFFFAOYSA-M
trptrna,NA
cit,KRKNYBCHXYNGOX-UHFFFAOYSA-K
orot5p,KYOBSHFOBAOFBF-XVFCMESISA-K
hexACP,NA
oxa,MUBZPKHOEPUJKR-UHFFFAOYSA-L
4ampm,SSWDVESQMBHOQT-UHFFFAOYSA-N
prpp,PQGCEDQWHSBAJP-TXICZTDVSA-I
phytol,BOTWFXYSPFMFNR-PYDDKJGSSA-N
meoh,OKKJLVBELUTLKV-UHFFFAOYSA-N
dtmp,GYOZYWVXFNDGLU-XLPZGREQSA-L
icolipacy,NA
5mta,WUUGFSXJNOTRMR-IOSLPCCCSA-N
acmum6p,NMEMTQKUEVNSPV-MKFCKLDKSA-K
hpdcn,NA
lycop,OAIJSZIZWZSQBC-GYZMGTAESA-N
xmp,DCTLYFZHFGENCW-UUOKFMHZSA-L
fgam,VDXLUNDMVKSKHO-ZRTZXPPTSA-L
trnahis,NA
6pthp,WBJZXBUVECZHCE-SCSAIBSYSA-N
amob,UOKVQQMBGVMXPU-CJPDYEHRSA-N
4pasp,IXZNKTPIYKDIGG-REOHCLBHSA-L
iscssh,NA
acglu,RFMMMVDNIPUKGG-YFKPBYRVSA-L
5prdmbz,ZMRGXEJKZPRBPJ-SYQHCUMBSA-L
p680,NA
malcoa,LTYOQGRJFJAKNA-DVVLENMVSA-I
cbasp,HLKXYZVTANABHZ-REOHCLBHSA-L
pgp1819Z160,NA
glcdg1619Z160,NA
cdpglc,NA
g3p,LXJXRIRHZLFYRP-VKHMYHEASA-L
rdmbzi,HLRUKOJSWOKCPP-SYQHCUMBSA-N
cgly,ZUKPVRWZDMRIEO-VKHMYHEASA-N
lgt__S,VDYDCVUWILIYQF-CSMHCCOUSA-M
pydx5p,NGVDGCNFYWLIFO-UHFFFAOYSA-L
acald,IKHGUXGNUITLKF-UHFFFAOYSA-N
3hoctaACP,NA
3psme,QUTYKIXIUDQOLK-PRJMDXOYSA-J
sucr,CZMRCDWAGMRECN-UGDNZRGBSA-N
chla_qy1_exc,NA
dcamp,OFBHPPMPBOJXRT-DPXQIYNJSA-J
hmppp9,MVCDIAGKFJFPBB-JXBSUKTBSA-L
dhap,GNGACRATGGDKBX-UHFFFAOYSA-L
4hbz,FJKROLUGYXJWQN-UHFFFAOYSA-M
6pgl,IJOJIVNDFQSGAB-SQOUGZDYSA-L
pre4,IOBDBIPWYQGVMM-VLMJWMIZSA-F
ocdcal,FWWQKRXKHIRPJY-UHFFFAOYSA-N
glu5sa,KABXUUFDPUOJMW-BYPYZUCNSA-N
so4,QAOWNCQODCNURD-UHFFFAOYSA-L
5aizc,XFVULMDJZXYMSG-ZIYNGMLESA-L
ugmda,IMWOXEZVYQDRDF-MCZXNMLPSA-J
dtdprmn,ZOSQFDVXNQFKBY-CGAXJHMRSA-L
ugmd,QUHLBZKCGUXHGP-AJVQVANPSA-J
4adcho,OIUJHGOLFKDBSU-HTQZYQBOSA-M
ala__L,QNAYBMKLOCPYGJ-REOHCLBHSA-N
sheme,DLKSSIHHLYNIKN-QIISWYHFSA-D
2a3pp,LBTABPSJONFLPO-UHFFFAOYSA-M
phpyr,BTNMPGBKDVTSJY-UHFFFAOYSA-M
h,GPRLSGONYQIRFK-UHFFFAOYSA-N
bm,NA
photon470,NA
gthbpt,NA
pchlld,SSIKFLKOTZKJAG-UAVVDGTISA-K
4mop,BKAJNAXTPSGJCU-UHFFFAOYSA-M
25aics,NAQGHJTUZRHGAC-ZZZDFHIKSA-J
photon430,NA
dhpmp,PLSQMGZYOGSOCE-XINAWCOVSA-L
pppg9,UHSGPDMIQQYNAX-UHFFFAOYSA-L
tdec2eACP,NA
murein5p5p5p,FOZGDVCGOFWZKF-SSRSPRHQSA-G
trnalys,NA
ala__D,QNAYBMKLOCPYGJ-UWTATZPHSA-N
atp,ZKHQWZAMYRWXGA-KQYNXXCUSA-J
kdolipid4cy,NA
2obut,TYEYBOSBBBHJIV-UHFFFAOYSA-M
bm_memlip,NA
anhm4p,OUWAMZWZTFUVMV-NPLPHQDTSA-L
pimACP,NA
hemeO,FISPASSVCDRERW-ARQJTVBPSA-J
3hmop,YJVOWRAWFXRESP-ZCFIWIBFSA-M
ohpb,MZJFVXDTNBHTKZ-UWTATZPHSA-K
12dgr1819Z1619Z,NA
dgdg1819Z160Z,NA
pa160,PORPENFLTBBHSG-MGBGTMOVSA-L
lys__L,KDXKERNSBIXSRK-YFKPBYRVSA-O
athis,NA
ddcaACP,NA
photon650,NA
aspsa,HOSWPDPVFBCLSY-VKHMYHEASA-N
hcys__L,FFFHZYDWPBMWHY-UHFFFAOYSA-N
LalaDgluMdapDala,BAPAFFOXTCMVCC-UHFFFAOYSA-M
dadp,DAEAPNUQQAICNR-RRKCRQDMSA-K
5aop,ZGXJTSGNIOSYLO-UHFFFAOYSA-N
amylose,NA
hemeA,ZGGYGTCPXNDTRV-ONCSLILDSA-L
5mdru1p,CNSJRYUMVMWNMC-RITPCOANSA-L
25dhpp,NA
bcaro_exc,NA
h_u,NA
pa161,NA
pre3a,AILJETHLKULYHE-IHDLTXBCSA-G
nstxan,NA
h2mb4p,MDSIZRKJVDMQOQ-GORDUTHDSA-K
pphn,FPWMCUPFBRFMLH-XGAOUMNUSA-L
mthgxl,AIJULSRZWUXGPQ-UHFFFAOYSA-N
dkmpp,HKEAOVFNWRDVAJ-UHFFFAOYSA-L
ppbng,QSHWIQZFGQKFMA-UHFFFAOYSA-M
phphbda,UXWYEAZHZLZDGM-ZVEVZSNKSA-M
glucys,RITKHVBHSGLULN-WHFBIAKZSA-M
1hdec9eg3p,NA
gmp,RQFCJASXJCIDSX-UUOKFMHZSA-L
mettrna,NA
ca2,BHPQYMZQTOCNFJ-UHFFFAOYSA-N
dtdp,UJLXYODCHAELLY-XLPZGREQSA-K
inost,CDAISMWEOUEBRE-GPIVLXJGSA-N
skm5p,QYOJSKGCWNAKGW-PBXRRBTRSA-K
2c4mthzep,NA
8aonn,GUAHPAJOXVYFON-UHFFFAOYSA-N
dutp,AHCYMLUZIRLXAA-SHYZEUOFSA-J
glu5p,PJRXVIJAERNUIP-VKHMYHEASA-L
dnad,SENPVEZBRZQVST-HISDBWNOSA-L
cholphya,VSRAJQZEEBBURZ-ONWAGYJKSA-M
prephytedp,RVCNKTPCHZNAAO-UZDKSQMHSA-K
cdp4dh6doglc,PUBYMNIINUUJLL-JOCQNMFKSA-L
fe2,CWYNVVGOOAEACU-UHFFFAOYSA-N
