metname,inchikey
3hoctACP,NA
fmettrna,NA
trdrd,NA
thm,MYVIATVLJGTBFV-UHFFFAOYSA-M
nmn,DAYLJWODMCOQEW-TURQNECASA-M
malth,NA
phytof,NA
pre8,IGCZFSMEIXUSJY-FKUSVXTQSA-G
bilirub,BPYKTIZUTYGOLE-IFADSCNNSA-L
hemeO,FISPASSVCDRERW-ARQJTVBPSA-J
dnacyt,NA
5drib,WDRISBUVHBMJEF-MROZADKFSA-N
mn2,WAEMQWOKJMHJLA-UHFFFAOYSA-N
trnacys,NA
tyrtrna,NA
no,MWUXSHHQAYIFBG-UHFFFAOYSA-N
dtdprham,NA
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L
h2co3_x,NA
rdRieskeB6_y,NA
s4_u,NA
pg160,BIABMEZBCHDPBV-MPQUPPDSSA-M
so3,LSNNMFCWUKXFEE-UHFFFAOYSA-L
pgp180,UZNYMWWMHBZMLI-IOLBBIBUSA-K
3hddecACP,NA
phycynbn,NA
2oph,VUNQJPPPTJIREN-CMAXTTDKSA-N
15gl,NA
arsni,NA
dmtphllqne,UDYIPZFWVJJQJF-KQPZCCJBSA-N
acser,VZXPDPZARILFQX-BYPYZUCNSA-N
cdec3eACP,NA
xmp,DCTLYFZHFGENCW-UUOKFMHZSA-L
methf,MEANFMOQMXYMCT-OLZOCXBDSA-M
dhap,GNGACRATGGDKBX-UHFFFAOYSA-L
phthr,FKHAKIJOKDGEII-GBXIJSLDSA-L
bvite,WGVKWNUPNGFDFJ-DQCZWYHMSA-N
2pglyc_x,NA
ind3ac,SEOVTRFCIGRIMH-UHFFFAOYSA-M
hemeXp_u,NA
25aics,NAQGHJTUZRHGAC-ZZZDFHIKSA-J
dvpchlld,JUNIUPXPPBQKSQ-UAVVDGTISA-K
g3p,LXJXRIRHZLFYRP-VKHMYHEASA-L
n4abutn,DDSLGZOYEPKPSJ-UHFFFAOYSA-N
1odecg3p,LAYXSTYJRSVXIH-HXUWFJFHSA-L
hdec,NA
gthrd,RWSXRVCMGQZWBV-WDSKDSINSA-M
ala__L,QNAYBMKLOCPYGJ-REOHCLBHSA-N
dgdg183_9_12_15,NA
uppg1,QTTNOSKSLATGQB-UHFFFAOYSA-F
phaccoa,ZIGIFDRJFZYEEQ-CECATXLMSA-J
malACP,NA
3ocpalm9eACP,NA
2m6phol,GTWCNYRFOZKWTL-UOFXASEASA-N
mettrna,NA
tpalm2eACP,NA
23dhmp,PDGXJDXVGMHUIR-UJURSFKZSA-M
pmcoa,LYCRXMTYUZDUGA-UYRKPTJQSA-I
adcobdam,OCNLJCZKGHKJGF-QOCQOLRHSA-N
5mdru1p,CNSJRYUMVMWNMC-RITPCOANSA-L
cobalt2,XLJKHNWPARRRJB-UHFFFAOYSA-N
lys__L,KDXKERNSBIXSRK-YFKPBYRVSA-O
hdeceACP,NA
urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N
prfp,QOUSHGMTBIIAHR-KEOHHSTQSA-J
pqhb6l_u,NA
octeACP,NA
prephytedp,RVCNKTPCHZNAAO-UZDKSQMHSA-K
uppg3,HUHWZXWWOFSFKF-UHFFFAOYSA-F
applp,YBOLZUJJGUZUDC-GSVOUGTGSA-M
6pgc,BIRSGZKFKXLSJQ-SQOUGZDYSA-K
23btdl,NA
im4act,MQSRGWNVEZRLDK-UHFFFAOYSA-N
trnatrp,NA
zn2,PTFCDOFLOPIGGS-UHFFFAOYSA-N
u3aga,TZSJGZGYQDNRRX-MPLCHSTDSA-L
his__L,HNDVDQJCIGZPNO-YFKPBYRVSA-N
2shchc,QJYRAJSESKVEAE-PSASIEDQSA-L
5aizc,XFVULMDJZXYMSG-ZIYNGMLESA-L
p700p_u,NA
f1p,RHKKZBWRNHGJEZ-VRPWFDPXSA-L
fmn,ANKZYBDXHMZBDK-SCRDCRAPSA-K
pg182_9_12,NA
h2o_l,NA
pqb6s_y,NA
air,PDACUKOKVHBVHJ-ZRTZXPPTSA-M
tdeACP,NA
3hbcoa__R,NA
dgdg160,NA
3hcpalm9eACP,NA
3hcddec5eACP,NA
dpcoa,KDTSHFARGAKYJN-IBOSZNHHSA-L
toct2eACP,NA
q8h2,LOJUQFSPYHMHEO-SGHXUWJISA-N
5mta,WUUGFSXJNOTRMR-IOSLPCCCSA-N
