metname,inchikey
clpn160,GRTNLBQYBYZCCM-ULKDXPJMSA-L
oc2coa,CPSDNAXXKWVYIY-NTLMCJQISA-J
q8,ICFIZJQGJAJRSU-SGHXUWJISA-N
decoa,NA
2agpg161,NA
1ddecg3p,STTKJLVEXMKLNA-CQSZACIVSA-L
R_3hdda,NA
leu__L,ROHFNLRQFUQHCH-YFKPBYRVSA-N
trnaser,NA
LalaLglu,VYZAGTDAHUIRQA-WHFBIAKZSA-M
hxcoa,NA
adphep_LD,KMSFWBYFWSKGGR-DTBZDYEHSA-L
dd_3_6,NA
23dhdp,UWOCFOFVIBZJGH-YFKPBYRVSA-L
adocbl,ZIHHMGTYZOSFRC-QRVZQHAISA-N
pe181,NA
pg161,GHQNERCMPIDAAU-ANXSUKRNSA-M
ugmda,IMWOXEZVYQDRDF-MCZXNMLPSA-J
3hddccoa,NA
1agpe180,BBYWOYAFBUOUFP-JOCHJYFZSA-N
histrna,NA
pe161,NA
2ahbut,VUQLHQFKACOHNZ-LURJTMIESA-M
cbasp,HLKXYZVTANABHZ-REOHCLBHSA-L
co,UGFAIRIUMAVXCW-UHFFFAOYSA-N
ferulcoa,GBXZVJQQDAJGSO-NBXNMEGSSA-J
trypta,APJYDQYYACXCRM-UHFFFAOYSA-O
3ooctACP,NA
C50pPHA,NA
gg15dap,NA
selmeth,RJFAYQIBOAGBLC-BYPYZUCNSA-N
2dda7p,PJWIPEXIFFQAQZ-PUFIMZNGSA-K
R_3htd5e,NA
1tdecg3p,FAZBDRGXCKPVJU-MRXNPFEDSA-L
mso3,AFVFQIVMOAPDHO-UHFFFAOYSA-M
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L
3ptcoa,NA
kdolipid4_kt,NA
udcpdp,NTXGVHCCXVHYCL-RDQGWRCRSA-K
2pg,GXIURPTVHJPJLF-UWTATZPHSA-K
pe160,SLKDGVPOSSLUAI-PGUFJCEWSA-N
val__L,KZSNJWFQEVHDMF-BYPYZUCNSA-N
lpp161,NA
3ononacoa,NA
mpt,HPEUEJRPDGMIMY-IFQPEPLCSA-K
ethso3,CCIVGXIOQKPBKL-UHFFFAOYSA-M
dhcrncoa,NA
tdcoa,DUAFKXOFBZQTQE-QSGBVPJFSA-J
R_3hhpa,NA
glyglu,NA
kdo8p,IZZNRKJLBIYBJN-HXUQBWEZSA-K
g3pe,JZNWSCPGTDBMEW-YFKPBYRVSA-N
3otdccoa,NA
acorn,JRLGPAXAGHMNOL-LURJTMIESA-N
co2,CURLTUGMZLYLDI-UHFFFAOYSA-N
cm,WIIZWVCIJKGZOK-RKDXNWHRSA-N
balagly,NA
3opptcoa,NA
din,VGONTNSXDCQUGY-RRKCRQDMSA-N
R_3h6athcoa,NA
3c4mop,HIIZAGQWABAMRR-BYPYZUCNSA-L
R_3hphxacoa,NA
urdglyc,NWZYYCVIOKVTII-SFOWXEAESA-M
dhcur,NA
C60pPHA,NA
cys__L,XUJNEKJLAYXESH-REOHCLBHSA-N
bwco,NA
alltt,NUCLJNSWZCHRKL-UHFFFAOYSA-M
4mop,BKAJNAXTPSGJCU-UHFFFAOYSA-M
25dkglcn,RXMWXENJQAINCC-DMTCNVIQSA-M
xu5p__D,FNZLKVNUWIIPSJ-RFZPGFLSSA-L
trnaasp_preq34,NA
R_3hpt,NA
ivcoa,UYVZIWWBJMYRCD-ZMHDXICWSA-J
clpn161e9,NA
