metname,inchikey
trnagly,NA
adp_m,NA
glu5p,PJRXVIJAERNUIP-VKHMYHEASA-L
cmp_m,NA
glntrna,NA
alincoa_m,NA
DMino14bp,NA
prpp,PQGCEDQWHSBAJP-TXICZTDVSA-I
udpgal_x,NA
hxdcal_r,NA
44mzym_r,NA
2pg,GXIURPTVHJPJLF-UWTATZPHSA-K
co2_m,NA
1ag3p_LM_x,NA
trprd,NA
dtmp,GYOZYWVXFNDGLU-XLPZGREQSA-L
glu5sa_m,NA
drib_x,NA
ru5p__L_x,NA
sphs1p,NA
fum,VZCYOOQTPOCHFL-OWOJBTEDSA-L
ile__L,AGPKZVBTJJNPAG-WHFBIAKZSA-N
glcn__D_x,NA
phom,FXDNYOANAXWZHG-VKHMYHEASA-L
amet,MEFKEPWMEQBLKI-AIRLBKTGSA-O
cit,KRKNYBCHXYNGOX-UHFFFAOYSA-K
gly,DHMQDGOQFOQNFH-UHFFFAOYSA-N
acgam1p,FZLJPEPAYPUMMR-RTRLPJTCSA-L
gthrd,RWSXRVCMGQZWBV-WDSKDSINSA-M
1ag3p_LM,NA
ttdca,NA
nh3,QGZKDVFQNNGYKY-UHFFFAOYSA-O
trnaarg,NA
hmgcoa,CABVTRNMFUVUDM-SJBCKIPMSA-I
ca2,BHPQYMZQTOCNFJ-UHFFFAOYSA-N
h_n,NA
acACP_m,NA
mal__L,BJEPYKJPYRNKOW-REOHCLBHSA-L
xu5p__D,FNZLKVNUWIIPSJ-RFZPGFLSSA-L
nh4_m,NA
nicrnt,JOUIQRNQJGXQDC-ZYUZMQFOSA-L
gam6p,XHMJOUIAFHJHBW-IVMDWMLBSA-M
b_D_glucose_x,NA
ppi_m,NA
udpgal,HSCJRCZFDFQWRP-ABVWGUQPSA-L
icit_m,NA
sphings_r,NA
orn__L,AHLPHDHHMVZTML-BYPYZUCNSA-O
ppi_x,NA
decACP_m,NA
ade,GFFGJBXGBJISGV-UHFFFAOYSA-N
3mgcoa,GXKSHRDAHFLWPN-RKYLSHMCSA-I
hdca,IPCSVZSSVZVIGE-UHFFFAOYSA-M
hibcoa_m,NA
thmpp_m,NA
atp,ZKHQWZAMYRWXGA-KQYNXXCUSA-J
amp_x,NA
akg_m,NA
focytc_m,NA
hxan_x,NA
camp,IVOMOUWHDPKRLL-KQYNXXCUSA-M
gthrd_m,NA
adn,OIRDTQYFTABQOQ-KQYNXXCUSA-N
asn__L_x,NA
trnaala,NA
adp,XTWYTFMLZFPYCI-KQYNXXCUSA-K
adn_r,NA
glyc3p_x,NA
tyr__L_m,NA
ru5p__D_x,NA
gthox_m,NA
dtdp,UJLXYODCHAELLY-XLPZGREQSA-K
3hhACP_m,NA
3oxtdACP_m,NA
f6p,BGWGXPAPYGQALX-ARQDHWQXSA-L
tcynt,ZMZDMBWJUHKJPS-UHFFFAOYSA-M
arg__L,ODKSFYDXXFIFQN-BYPYZUCNSA-O
acser,VZXPDPZARILFQX-BYPYZUCNSA-N
mal__L_m,NA
co2_x,NA
gdp_n,NA
pmtcoa,MNBKLUUYKPBKDU-BBECNAHFSA-J
trpox,NA
adn_m,NA
val__L_m,NA
tdcoa,DUAFKXOFBZQTQE-QSGBVPJFSA-J
clpn_LM_m,NA
3hocdacp_m,NA
o2,MYMOFIZGZYHOMD-UHFFFAOYSA-N
thf,MSTNYGQPCMXVAQ-RYUDHWBXSA-L
pro__L,ONIBWKKTOPOVIA-BYPYZUCNSA-N
h,GPRLSGONYQIRFK-UHFFFAOYSA-N
nadp_r,NA
sdhlam_m,NA
glu__L_n,NA
3oxocdacp_m,NA
glu5sa,KABXUUFDPUOJMW-BYPYZUCNSA-N
gmp_r,NA
ctp_n,NA
uacgam,LFTYTUAZOPRMMI-CFRASDGPSA-L
for,BDAGIHXWWSANSR-UHFFFAOYSA-M
pa_LM,NA
ppa_m,NA
h_x,NA
itp,HAEJPQIATWHALX-KQYNXXCUSA-J
f26bp,YXWOAJXNVLXPMU-ZXXMMSQZSA-J
atp_n,NA
pmtcoa_m,NA
thr__L_m,NA
arg__L_x,NA
amp,UDMBCSSLTHHNCD-KQYNXXCUSA-L
chol,OEYIOHPDSNJKLS-UHFFFAOYSA-N
trnaglu_m,NA
ps_LM_m,NA
3oxhdACP_m,NA
s7p,JDTUMPKOJBQPKX-GBNDHIKLSA-L
2tddACP_m,NA
thr__L,AYFVYJQAPQTCCC-GBXIJSLDSA-N
trnahis,NA
coa_r,NA
dad_2,OLXZPDWKRNYJJZ-RRKCRQDMSA-N
dttp,NHVNXKFIZYSCEB-XLPZGREQSA-J
pi_m,NA
ppcoa_m,NA
his__L,HNDVDQJCIGZPNO-YFKPBYRVSA-N
asp__L_x,NA
coa_m,NA
dump_m,NA
rbl__L_x,NA
glincoa,NA
gamla,NA
drib,PDWIQYODPROSQH-PYHARJCCSA-N
hdd2coa_m,NA
1pyr5c,DWAKNKKXGALPNW-UHFFFAOYSA-M
imp_x,NA
trnapro,NA
s7p_x,NA
dtdp_n,NA
a_D_glucose,NA
udp,XCCTYIAWTASOJW-XVFCMESISA-K
gdp_m,NA
xu5p__D_x,NA
3hbACP_m,NA
dmpp_x,NA
pep,DTBNBXWJWCWCIK-UHFFFAOYSA-K
2maacoa_m,NA
adp_n,NA
dgtp,HAAZLUGHYHWQIW-KVQBGUIXSA-J
fad_m,NA
asp__L_m,NA
itp_n,NA
trnacys,NA
nac,PVNIIMVLHYAWGP-UHFFFAOYSA-M
3hocACP_m,NA
urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N
olcoa,NA
g3p,LXJXRIRHZLFYRP-VKHMYHEASA-L
lpro,NA
sphings,NA
ergtetrol_r,NA
xmp,DCTLYFZHFGENCW-UUOKFMHZSA-L
protrna,NA
glucys,RITKHVBHSGLULN-WHFBIAKZSA-M
adp_r,NA
12dgr_LM,NA
glytrna,NA
atp_x,NA
sertrna,NA
ptd1ino_LM,NA
nh4_x,NA
nadph,ACFIXJIJDZMPPO-NNYOXOHSSA-J
ctp_m,NA
dctp_n,NA
pyr_x,NA
asptrna,NA
pe_LM_m,NA
hcys__L,FFFHZYDWPBMWHY-UHFFFAOYSA-N
datp_n,NA
xmp_x,NA
inost,CDAISMWEOUEBRE-GPIVLXJGSA-N
cit_m,NA
so3,LSNNMFCWUKXFEE-UHFFFAOYSA-L
gthox,YPZRWBKMTBYPTK-BJDJZHNGSA-L
rbl__L,ZAQJHHRNXZUBTE-UCORVYFPSA-N
dttp_n,NA
idp,JPXZQMKKFWMMGK-KQYNXXCUSA-K
3dsphgn_r,NA
h2o2_x,NA
hom__L,UKAUYVFTDYCKQA-VKHMYHEASA-N
2toceACP_m,NA
o2_m,NA
malcoa_m,NA
tdcoa_x,NA
trnaphe,NA
hxcoa_m,NA
2ahethmpp_m,NA
trnaser,NA
dump,JSRLJPSBLDHEIO-SHYZEUOFSA-L
44mctr_r,NA
trnagln,NA
mev__R_x,NA
gmp,RQFCJASXJCIDSX-UUOKFMHZSA-L
trpdox,NA
octACP_m,NA
tyr__L,OUYCCCASQSFEME-QMMMGPOBSA-N
urea_x,NA
ddcaACP_m,NA
ergst_r,NA
3mbutdhla_m,NA
dgmp_r,NA
phetrna,NA
3hpaACP_m,NA
thym,RWQNBRDOKXIBIV-UHFFFAOYSA-N
ser__L,MTCFGRXMJLQNBG-REOHCLBHSA-N
h_r,NA
ametam,ZUNBITIXDCPNSD-LSRJEVITSA-O
a_D_glucose_x,NA
adn_x,NA
nh3_x,NA
dccoa_m,NA
ahcys,ZJUKTBDSGOFHSH-WFMPWKQPSA-N
1agly3p_LM_x,NA
3sala,ADVPTQAUNPRNPO-REOHCLBHSA-M
ptrc,KIDHWZJUCRJVML-UHFFFAOYSA-P
lys__L,KDXKERNSBIXSRK-YFKPBYRVSA-O
tdcoa_m,NA
trpox_x,NA
trnathr,NA
co2,CURLTUGMZLYLDI-UHFFFAOYSA-N
asn__L,DCXYFEDJOCDNAF-REOHCLBHSA-N
2tdeACP_m,NA
3oxdeACP_m,NA
2beACP_m,NA
pyr_m,NA
glutrna,NA
acac_m,NA
ACP,NA
ptd4ino_LM,NA
damp,KHWCHTKSEGGWEX-RRKCRQDMSA-L
trprd_x,NA
dgdp_r,NA
dhap_x,NA
leutrna,NA
trnaasn,NA
3mb2coa_m,NA
hexACP_m,NA
f6p_x,NA
r1p,YXJDFQJKERBOBM-TXICZTDVSA-L
nadh,BOPGDPNILDQYTO-NNYOXOHSSA-L
no3,NHNBFGGVMKEFGY-UHFFFAOYSA-N
pep_x,NA
dgmp,LTFMZDNNPPEQNG-KVQBGUIXSA-L
amp_r,NA
rib__D,HMFHBZSHGGEWLO-SOOFDHNKSA-N
accoa,ZSLZBFCDCINBPY-ZSJPKINUSA-J
tdeACP_m,NA
gln__L_n,NA
sphgn_r,NA
triglyc_LM,NA
oaa_m,NA
olcoa_m,NA
r5p,KTVPXOYAKDPRHY-AIHAYLRMSA-L
cdpea_m,NA
lpam_m,NA
h_m,NA
orn__L_x,NA
ocdca,QIQXTHQIDYTFRH-UHFFFAOYSA-M
mmalsa_m,NA
val__L,KZSNJWFQEVHDMF-BYPYZUCNSA-N
mannan,NA
datp,SUYVUBYJARFZHO-RRKCRQDMSA-J
ppi,XPPKVPWEQAFLFU-UHFFFAOYSA-K
2dr5p,ALQNUOMIEBHXQG-CRCLSJGQSA-L
gua,UYTPUPDQBNUYGX-UHFFFAOYSA-N
3hmp_m,NA
hmgcoa_x,NA
cmp,IERHLVCPSMICTF-XVFCMESISA-L
agm,QYPPJABKJHAVHS-UHFFFAOYSA-P
nad_x,NA
b_D_glucose,NA
mlthf,QYNUQALWYRSVHF-OLZOCXBDSA-L
pe_LM,NA
3oxddACP_m,NA
ctp,PCDQPRRSZKQHHS-XVFCMESISA-J
cmp_n,NA
nadh_m,NA
ficytc_m,NA
butACP_m,NA
dutp_m,NA
dgdp_n,NA
valtrna,NA
pi_x,NA
ala__D,QNAYBMKLOCPYGJ-UWTATZPHSA-N
aacoa_m,NA
nadph_r,NA
cyan,LELOWRISYMNNSU-UHFFFAOYSA-N
actACP_m,NA
fum_x,NA
dcd2coa_m,NA
oaa,KHPXUQMNIQBQEV-UHFFFAOYSA-L
tsul,DHCDFWKWKRSZHF-UHFFFAOYSA-M
ditp_n,NA
man6p,NBSCHQHZLSJFNQ-QTVWNMPRSA-L
cdpea,WVIMUEUQJFPNDK-PEBGCTIMSA-M
gtspmd,NEDQLXHBVHSKNV-STQMWFEESA-P
dudp,QHWZTVCCBMIIKE-SHYZEUOFSA-K
3mgcoa_m,NA
nadp_x,NA
5a4icam,NA
fum_m,NA
3hdeACP_m,NA
mi145tp__D,NA
dctp,RGWHQCVHVJXOKC-SHYZEUOFSA-J
mi4p__D,INAPMGSXUVUWAF-CNWJWELYSA-L
cholp,YHHSONZFOIEMCP-UHFFFAOYSA-M
ac,QTBSBXVTEAMEQO-UHFFFAOYSA-M
lystrna,NA
spyr,NA
akg,KPGXRSRHYNQIFN-UHFFFAOYSA-L
ptd145bp_LM,NA
1ag3p_LM_m,NA
ethap_r,NA
gln__L_m,NA
pyr,LCTONWCANYUPML-UHFFFAOYSA-M
oaa_x,NA
2dr5p_x,NA
trnaglu,NA
g6p_A,NBSCHQHZLSJFNQ-DVKNGEFBSA-L
dgtp_n,NA
dcdp_n,NA
trpdox_n,NA
pg_LM_m,NA
myrsACP_m,NA
nad,BAWFJGJZGIEFAR-NNYOXOHSSA-M
12d3k5m,NA
strcoa_x,NA
ncam,DFPAKSUCGFBDDF-UHFFFAOYSA-N
udp_n,NA
2theACP_m,NA
scys__L,NOKPBJYHPHHWAN-REOHCLBHSA-M
gal1p_x,NA
cdp,ZWIADYZPOWUWEW-XVFCMESISA-K
h2o_n,NA
dha,RXKJFZQQPQGTFL-UHFFFAOYSA-N
q6_m,NA
iletrna,NA
g1p,HXXFSFRBOHSIMQ-GASJEMHNSA-L
dgdp,CIKGWCTVFSRMJU-KVQBGUIXSA-K
trpdrd,NA
thymd,IQFYYKKMVGJFEH-XLPZGREQSA-N
thymd_m,NA
alincoa_x,NA
ocdcea,ZQPPMHVWECSIRJ-KTKRTIGZSA-M
acald_x,NA
gly_m,NA
ru5p__L,FNZLKVNUWIIPSJ-CRCLSJGQSA-L
rib__D_x,NA
ppi_n,NA
ACP_m,NA
dhap,GNGACRATGGDKBX-UHFFFAOYSA-L
e4p_x,NA
dtmp_m,NA
fdp_x,NA
dcmp,NCMVOABPESMRCP-SHYZEUOFSA-L
adp_x,NA
olcoa_x,NA
g6p_B_x,NA
nadph_x,NA
argtrna,NA
didp_n,NA
utp_n,NA
nadp,XJLXINKUBYWONI-NNYOXOHSSA-K
13dpg_x,NA
