metname,inchikey,Canonical_SMILES
1hdecg3p,NA,noinchikey_inpubchem
air,PDACUKOKVHBVHJ-ZRTZXPPTSA-M,C1=C([N+](=CN1)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N
ocdca,QIQXTHQIDYTFRH-UHFFFAOYSA-M,CCCCCCCCCCCCCCCCCC(=O)[O-]
h2,UFHFLCQGNIYNRP-UHFFFAOYSA-N,[HH]
kokdolipid4,NA,noinchikey_inpubchem
3c2hmp,RNQHMTFBUSSBJQ-CRCLSJGQSA-L,CC(C)C(C(C(=O)[O-])O)C(=O)[O-]
fldrd,NA,noinchikey_inpubchem
xtsn,UBORTCNDUKBEOP-UUOKFMHZSA-N,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=O)NC2=O
tag6p__D,BGWGXPAPYGQALX-OEXCPVAWSA-L,C(C1C(C(C(O1)(CO)O)O)O)OP(=O)([O-])[O-]
athr__L,AYFVYJQAPQTCCC-HRFVKAFMSA-N,CC(C(C(=O)O)N)O
suc6p,PJTTXANTBQDXME-UGDNZRGBSA-L,C(C1C(C(C(C(O1)OC2(C(C(C(O2)COP(=O)([O-])[O-])O)O)CO)O)O)O)O
acmana,MBLBDJOUHNCFQT-XAMCCFCMSA-N,CC(=O)NC(C=O)C(C(C(CO)O)O)O
thr__L,AYFVYJQAPQTCCC-GBXIJSLDSA-N,CC(C(C(=O)O)N)O
murein3p3p,QKZNHGKXDALVQW-UHFFFAOYSA-I,noinchikey_inpubchem
acald,IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O
fe,NA,noinchikey_inpubchem
5aprbu,RQRINYISXYAZKL-RPDRRWSUSA-L,C(C(C(C(COP(=O)([O-])[O-])O)O)O)NC1=C(C(=O)NC(=O)N1)N
asntrna,NA,noinchikey_inpubchem
5mthf,ZNOVTXRBGFNYRX-STQMWFEESA-L,CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
sectrna,NA,noinchikey_inpubchem
dgsn,YKBGVTZYEHREMT-KVQBGUIXSA-N,C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)CO)O
3ohodcoa,LGOGWHDPDVAUNY-LFZQUHGESA-J,CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
dgmp,LTFMZDNNPPEQNG-KVQBGUIXSA-L,C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)COP(=O)([O-])[O-])O
